PURE RECEIPT AGAINST PURCHASE DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipt No.,Supp Inv No,Supp Inv Date,Receipt Date,Creation Date,Receipt Qty,Org Name,Subinventory,BOE Date,SGST,CGST,IGST,SGST %,CGST %,IGST %,HSN Code,Rcpt Amt,Tax Amt,Rcpt Total,Vendor Name,Vendor No,Vendor Site,Vendor State,Vendor GST Number,Po Number,Po Date,Lot Number,Currency Code,Currency Rate,Rate Date,Po Term Days,Item Code,Item Description,Division,Product,Category,Sub-Category,UOM,Purchase Category,Po Unit Price,Po Quantity,Approved Date,Duties per Unit,Transporter Name,Wo Order No,Invoice Number,Invoice Accounted Status,GRN Created By,Claim Status
30718,PP26AEK-AZ1952,13-Oct-25,13-Oct-25,13-Oct-25,24,PPC - Madhavaram,Transport,,0,0,336.5268768,0,0,18,34029099,1869.59376,336.5268768,2206.120637,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Anekal Me,Karnataka,29AACCP3026E1ZP,109417,13-Oct-25,COMBO - 04-06-2025,INR,1,,IMMEDIATE,MVMPCBTHDD500207,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500 ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,EA,,77.89974,84,13-Oct-25,,,,,,"Prasanth Radhakrishnan,",Recovered
10304,,15-Oct-25,15-Oct-25,15-Oct-25,6,CCC - Erode (VC),SHED A,,0,0,0,0,0,0,28311020,942.987,0,942.987,COLOR CHEMICALS,11727,CCC-TIRUPUR,Tamil Nadu,33AAAFC6130F1Z4,7944,14-Oct-25,3511250042-30-06-2025,INR,1,,IMMEDIATE,TTDAHDCB00050004,CYCLANON ECO PLUS LIQ,Performance Chemicals,Textile & Paper Division,Textile,Dyeing Auxillary,KG,,157.1645,100,14-Oct-25,,,,,,"Vigneshwaran Mookaiyan,",GST Claim NA
20251,KAN001646,14-Oct-25,14-Oct-25,14-Oct-25,23300,PPC - Kandla Port (Duty Paid),CRL,,151508.25,151508.25,0,9,9,0,29011000,1683425,303016.5,1986441.5,CRESCENT ORGANICS PVT LTD.,11822,CRES-GAND03,Gujarat,24AAACC1690D1Z6,197108,04-Oct-25,197108-KAN001646,INR,1,04-Oct-25,70 days (Term date +70),TDBNAX000HEXA011,N-HEXANE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,72.25,75000,06-Oct-25,,,,KAN001646,Accounted,"GOWTHAM B ,",Recovered
8455,,18-Oct-25,18-Oct-25,18-Oct-25,300,PPC - Irugur,SHED B,,0,0,0,0,0,0,28030090,37161.651,0,37161.651,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,109613,15-Oct-25,188279,INR,1,,IMMEDIATE,TPOCPGBG00020010,HIBLACK 20BT BEADS,Performance Chemicals,PNC Division,Paints & Coatings,Orion,KG,,123.87217,300,15-Oct-25,,,,,,"Gnanavelan. A,",GST Claim NA
21325,F20026513705,16-Oct-25,16-Oct-25,16-Oct-25,23500,PPC - Mumbai,TANK 1,,166027.5,166027.5,0,9,9,0,29051220,1844750,332055,2176805,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LTD,11950,DEEP-MUM,Maharashtra,27AAACD1388D1ZW,197075,04-Oct-25,197075- F20026513705,INR,1,17-Sep-25,90 days (Term date + 90),TDBNAX0000IPA001,ISO PROPYL ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Domestic-Bulk,78.5,300000,04-Oct-25,,,,F20026513705,Accounted,"Jacob James Raja ,",Recovered
2947,KT2521004889,11-Oct-25,17-Oct-25,17-Oct-25,820,PPC - APL Malur,RM Store,,0,0,0,9,9,0,73101090,0,0,0,ASIAN PAINTS LIMITED,10798,ASIAN-KOLAR,Karnataka,29AAACA3622K1ZR,122528,06-Jun-20,KT2521004889,INR,1,06-Jun-20,3 days (Term date + 3),JWPKP34532RA1U20,A1 GOLD UNI THINR 20L GI DRUM WITH POURER,MISC,,,,EA,,0,,30-Nov-24,,,,,,"Manikandan.S,",GST Claim NA
30814,GST/SC/0345,18-Oct-25,18-Oct-25,18-Oct-25,1980,PPC - Madhavaram,SHED L,,30828.6,30828.6,0,9,9,0,29321100,342540,61657.2,404197.2,SUPER CHEMICALS,18715,SUPERCHEM-CHN,Tamil Nadu,33AACFS2613K1ZF,197393,09-Oct-25,THF250718A3-18.10.2025,INR,1,25-Jul-25,120 days (Term date +120),TDIMSN1800THF006,TETRAHYDROFURAN (THF),General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,173,8460,18-Oct-25,,,PPC-MAD-25-26-1590,GST/SC/0345,Accounted,"Jacob James Raja ,",Recovered
10264,AR2526U3/305914,16-Oct-25,18-Oct-25,18-Oct-25,180,PPC - Bhiwandi New,SHED A1,,16605,16605,0,9,9,0,39233090,184500,33210,217710,MITSU CHEM PLAST LTD,15049,MITS-MUM,Maharashtra,27AAACM0641G1ZV,196007,10-Sep-25,305914-18-10-2025,INR,1,10-Sep-25,20 days (Term date + 20),PHDBRN0235LT0001,NEW 235 LT HDPE BARREL,Packing Materials,Others,Others,,EA,,1025,250,10-Sep-25,,,,AR2526U3/305914,Accounted,"Jacob James Raja ,",Recovered
13948,PP26MDM-IN2855,22-May-25,18-Oct-25,18-Oct-25,6.8,PCT - Madhavaram Trading,SHED L,,822.3020496,822.3020496,0,9,9,0,34029099,9136.68944,1644.604099,10781.29354,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,8194,22-May-25,95138_PPS25030359,INR,1,,IMMEDIATE,MVMPCCB20D500210,VOOKI HEAVY DUTY TOILET BOWL CLEANER 20 X 500 ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,1343.6308,8,22-May-25,,,,PP26MDM-IN2855-101-66189,Accounted,"Murugesan.S,",Pending Recovery
30554,PP26BHW-IN2898,06-Aug-25,06-Oct-25,06-Oct-25,20,PPC - Madhavaram,SHED L,,0,0,4565.778984,0,0,18,29339990,25365.4388,4565.778984,29931.21778,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Bhw New,Maharashtra,,105433,06-Aug-25,188889,INR,1,,IMMEDIATE,TCELHDCB00020009,EVERSORB 80,Performance Chemicals,PNC Division,Paints & Coatings,Everlight,KG,,1268.27194,20,06-Aug-25,,,2898,,,"Dinesh R,",Recovered
10130,PP26BHW-IN3285,28-Aug-25,10-Oct-25,10-Oct-25,40,PPC - Malur,SHED A Opn,,0,0,5354.145216,0,0,18,34029099,29745.2512,5354.145216,35099.39642,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Bhw New,Maharashtra,,106406,28-Aug-25,169307,INR,1,,IMMEDIATE,TCTOMSTN00020006,TOUCH MASK 9000,Performance Chemicals,PNC Division,Paints & Coatings,Touch,KG,,743.63128,40,28-Aug-25,,,,,,"GOWTHAM B ,",Recovered
8402,PP26BHW-IN4050,29-Sep-25,08-Oct-25,08-Oct-25,150,PPC - Irugur,SHED B,,0,0,12763.88577,0,0,18,34049090,70910.4765,12763.88577,83674.36227,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-Bhiwandi N,Maharashtra,,108650,29-Sep-25,192417,INR,1,,IMMEDIATE,TCSMCTCB00150067,T-5388W,Performance Chemicals,PNC Division,Paints & Coatings,Shamrock,LB,,472.73651,150,29-Sep-25,,,,,,"Gnanavelan. A,",Recovered
8385,,06-Oct-25,06-Oct-25,06-Oct-25,1000,PPC - Irugur,SHED B,,0,0,0,0,0,0,29319090,279711.54,0,279711.54,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Puzhal,Tamil Nadu,33AACCP3026E1Z0,108710,30-Sep-25,193060,INR,1,,IMMEDIATE,TPPHCTCB00200008,LT 560 - SILANE,Performance Chemicals,PNC Division,Paints & Coatings,HUBEI BLUESKY,KG,,279.71154,1000,30-Sep-25,,,,,,"Gnanavelan. A,",GST Claim NA
12684,,03-Oct-25,03-Oct-25,03-Oct-25,25000,PPC - Bavla,SHED C-NOR,,0,0,0,0,0,0,29171400,2302283.75,0,2302283.75,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - KANDLA DU,Gujarat,24AACCP3026E1ZZ,108754,30-Sep-25,192607,INR,1,,IMMEDIATE,TIIBGX02500MA001,MALEIC ANHYDRIDE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,92.09135,25000,30-Sep-25,,,,,,"Jeyastan, Mr.",GST Claim NA
10045,MUM001836,30-Sep-25,01-Oct-25,01-Oct-25,1140,PPC - Bhiwandi New,MKT B2B,,10619.1,10619.1,0,9,9,0,29094300,117990,21238.2,139228.2,SHREE RAJ CHEMICALS,17738,SHRE-MUM01,Maharashtra,27AAAPT9955D1ZC,196896,29-Sep-25,196896-01-10-2025,INR,1,29-Sep-25,90 days (Term date + 90),TDIHDN19000EB068,BUTYL CELLOSOLVE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,103.5,1140,29-Sep-25,,,,MUM001836,Accounted,"Prasanth Radhakrishnan,",Recovered
2364,CC26TPP-IN1248,03-Oct-25,06-Oct-25,06-Oct-25,100,PPC - Karur SP,SHED A,,788.895,788.895,0,9,9,0,34029099,8765.5,1577.79,10343.29,COLOR CHEMICALS,11727,CCC - Tiruppur,Tamil Nadu,33AAAFC6130F1Z4,108762,03-Oct-25,3511240025-13.09.2025,INR,1,,IMMEDIATE,TTPRHDCB00100024,KIERALON OTI LIQ,Performance Chemicals,Textile & Paper Division,Textile,Pretreatment,KG,,87.655,100,03-Oct-25,,,,CC26TPP-IN1248-103-70862,Accounted,"Manikandan.J,",Recovered
10057,PP26VAP-IN700,03-Oct-25,03-Oct-25,03-Oct-25,3120,PPC - Bhiwandi New,Transport,,0,0,111483.1542,0,0,18,29159099,619350.8568,111483.1542,730834.011,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Vapi,Gujarat,,108767,03-Oct-25,03-22.07.25,INR,1,,IMMEDIATE,TIRHDN2080NDA008,NEODECANOIC ACID,General Chemicals,GC1,Differentiated,Exxon Chemical  Intermediates,KG,,198.50989,3120,03-Oct-25,,,,,,"Prasanth Radhakrishnan,",Recovered
30516,PP26AEK-AZ1858,03-Oct-25,03-Oct-25,03-Oct-25,920,PPC - Madhavaram,Transport,,0,0,23693.33758,0,0,18,34029019,131629.6532,23693.33758,155322.9908,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Anekal Me,Karnataka,29AACCP3026E1ZP,108804,03-Oct-25,COMBO-03.10.25,INR,1,,IMMEDIATE,MVMPCBTHDD801001,VOOKI BIOSENSE LAUNDRY DETERGENT 801ML,NPD,Vooki Division,Vooki Premium,Liquid Detergent,EA,,143.07571,920,03-Oct-25,,,,,,"GOWTHAM B ,",Recovered
7731,PC26MVM-IN121,04-Oct-25,06-Oct-25,06-Oct-25,27,POI - Alathur MFG,SHED C,,3669.460939,3669.460939,0,9,9,0,73101090,40771.78821,7338.921878,48110.71009,PURE CHEMICALS CO,26279,PCM - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,12591,04-Oct-25,22116-30.07.2025,INR,1,,IMMEDIATE,PMSBRN0018KG0001,NON COATED NEW 18 KG MS BARREL,Packing Materials,Others,Others,,EA,,1510.06623,70,04-Oct-25,,,,PC26MVM-IN121-845-70940,Unaccounted,"Jaganathan.B,",Recovered
17074,PP26MLR-IN3745,04-Oct-25,04-Oct-25,04-Oct-25,4110,PPC - Bonthapally(HYD),Transport,,0,0,159927.6706,0,0,18,29011000,888487.059,159927.6706,1048414.73,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MALUR,Karnataka,29AACCP3026E1ZP,108878,04-Oct-25,PPC-MAD-25-26-1286,INR,1,,IMMEDIATE,TIRMSN137NH99007,N-HEPTANE 99%,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,216.1769,4110,04-Oct-25,,,,,,"Prasanth Radhakrishnan,",Recovered
8378,,06-Oct-25,06-Oct-25,06-Oct-25,600,PPC - Irugur,SHED B,,0,0,0,0,0,0,29109000,98216.778,0,98216.778,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,108880,04-Oct-25,EW-2173-29.05.2025,INR,1,,IMMEDIATE,TCAHMSBR00200001,NC 513,Performance Chemicals,PNC Division,Cardolite,Hardner,KG,,163.69463,600,04-Oct-25,,,,,,"Gnanavelan. A,",GST Claim NA
12136,PP26KND-IN1698,04-Oct-25,08-Oct-25,08-Oct-25,28430,PPC - Sonipat,Quarantine,,0,0,359764.3759,0,0,18,29023000,1998690.977,359764.3759,2358455.353,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - KANDLA DU,Gujarat,24AACCP3026E1ZZ,108894,04-Oct-25,196405-GUJ-25-26-07082,INR,1,,IMMEDIATE,TDBNAX0000TOL001,TOLUENE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,70.30218,34580,04-Oct-25,,,PPC-DEL-25-26-0487,,,"Prasanth Radhakrishnan,",Recovered
17102,PP26MDM-IN11457,06-Oct-25,07-Oct-25,07-Oct-25,836,PPC - Bonthapally(HYD),SHED A,,0,0,118622.1787,0,0,18,29011000,659012.1036,118622.1787,777634.2823,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,108962,06-Oct-25,11987,INR,1,,IMMEDIATE,TIRMSN145EXHP002,EXXSOL HEPTANE FLUID,General Chemicals,GC1,Differentiated,Exxon Speciality Solvents,KG,,788.29199,5220,06-Oct-25,,,12617,,,"S VIBU,",Recovered
4507,PC26PZM-IN57,07-Oct-25,09-Oct-25,09-Oct-25,2800,PSM - Thervoykandigai MFG,SHED A,,72576,72576,0,9,9,0,34021300,806400,145152,951552,,,,,,13086,07-Oct-25,250314A01_15-SEP-2025,INR,1,,IMMEDIATE,TD12MSBR00200236,TNLEP0X1,Performance Chemicals,Raw  Material,Textile Pure,Pretreatment,KG,,288,2800,07-Oct-25,,,,,,"Godlin Vincent,",Recovered
10108,MUMM03749,06-Oct-25,07-Oct-25,07-Oct-25,1610,PPC - Bhiwandi New,MKT B2B,,9346.05,9346.05,0,9,9,0,29094100,103845,18692.1,122537.1,PARESH CHEMICAL CORPORATION,15865,PARE-MUM02,Maharashtra,27AAAFP7975R1Z8,197141,06-Oct-25,197141-07-10-2025,INR,1,06-Oct-25,70 days (Term date +70),TDIHDN2300DEG010,DI ETHYLENE GLYCOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,64.5,1610,06-Oct-25,,,,MUMM03749,Accounted,"Prasanth Radhakrishnan,",Recovered
1172,,07-Oct-25,07-Oct-25,07-Oct-25,16400,PPC - Puzhal,SHED A,,0,0,0,0,0,0,39072990,1842129.016,0,1842129.016,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-ENNORE DUTY,Tamil Nadu,33AACCP3026E1Z0,109013,07-Oct-25,195479,INR,1,,IMMEDIATE,TIIMSN205POLY042,GENIX GS-3000R (POLYETHER POLYOLS),General Chemicals,GC2,PU Products,Polyols,KG,,112.32494,16400,07-Oct-25,,,,,,"Balaji.K,",GST Claim NA
3330,F11202513129,26-Sep-25,07-Oct-25,07-Oct-25,400,PPC - Kappalur,SHED B,,0,0,7416,0,0,18,38099190,41200,7416,48616,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCHRO-ROHA,Maharashtra,27AALCA6844Q1ZU,196936,29-Sep-25,3511250084 -26.09.25,INR,1,29-Sep-25,45 days (Term date + 45),TTPRHDCB00100081,LUFIBROL MSD LIQ,Performance Chemicals,Textile & Paper Division,Textile,Pretreatment,KG,,103,4500,29-Sep-25,,,,F11202513129,Accounted,"Prasanth Radhakrishnan,",Recovered
1080,,08-Oct-25,08-Oct-25,08-Oct-25,16800,PPC - Kolkata New,SHED A,,0,0,0,0,0,0,39072090,2009247.912,0,2009247.912,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-Kolk Prt-DP,West Bengal,,109028,07-Oct-25,197040,INR,1,,IMMEDIATE,TIIMSN210POLY026,CARADOL SC 56-18S,General Chemicals,GC2,PU Products,Polyols,KG,,119.59809,16800,07-Oct-25,,,,,,"GOWTHAM B ,",GST Claim NA
3847,HP/168/25-26,04-Oct-25,08-Oct-25,08-Oct-25,9990,PPC - Ranipet,SHED A,,0,0,53226.72,0,0,18,28470000,295704,53226.72,348930.72,MH COMMOTRADE PRIVATE LIMITED,14997,KOLK-TDS-PUR1,West Bengal,19AAGCM9000M1Z6,196599,23-Sep-25,HP-168-25-26,INR,1,23-Sep-25,30 days (Term date + 30),TDIHDN030H2O2015,HYDROGEN PEROXIDE 50% TECHNICAL GRADE NOT FOR MEDICINAL USE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,29.6,9990,23-Sep-25,,,,HP/168/25-26,Accounted,"Prasanth Radhakrishnan,",Recovered
5756,F11202513061,25-Sep-25,08-Oct-25,08-Oct-25,600,CCC - Tiruppur (PP),SHED A,,0,0,18252,0,0,18,32064990,101400,18252,119652,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCHRO-ROHA,Maharashtra,27AALCA6844Q1ZU,55445,27-Sep-25,35085D4030-25.09.2025,INR,1,27-Sep-25,45 days (Term date + 45),TTPPHDCB00030001,PRINTOFIX BLACK F-HDT HP,Performance Chemicals,Textile & Paper Division,Textile,Printing Pigments,KG,,169,600,27-Sep-25,,,,F11202513061,Accounted,"Jacob James Raja ,",Recovered
2911,KT2521004303,22-Sep-25,08-Oct-25,08-Oct-25,3240,PPC - APL Malur,RM Store,,0,0,0,0,0,0,7310,0,0,0,ASIAN PAINTS LIMITED,10798,ASIAN-KOLAR,Karnataka,29AAACA3622K1ZR,122528,06-Jun-20,KT2521004309,INR,1,06-Jun-20,3 days (Term date + 3),JWPKP11829YA5MPP,A1 MPP THINNER INT TOP 5L TIN,MISC,,,,EA,,0,,30-Nov-24,,,,,,"Manikandan.S,",GST Claim NA
2916,KT2521004316,24-Sep-25,08-Oct-25,08-Oct-25,319,PPC - APL Malur,RM Store,,0,0,0,0,0,0,48191010,0,0,0,ASIAN PAINTS LIMITED,10798,ASIAN-KOLAR,Karnataka,29AAACA3622K1ZR,122528,06-Jun-20,KT2521004314,INR,1,06-Jun-20,3 days (Term date + 3),JWPKP21685KTN45L,THINNER INT TOP 4X5L CARTON-HWC,MISC,,,,EA,,0,,30-Nov-24,,,,,,"Manikandan.S,",GST Claim NA
20200,STG-P/25-26/3047,08-Oct-25,08-Oct-25,08-Oct-25,34890,PPC - Kandla Port (Duty Paid),CRL,,219807,219807,0,9,9,0,29023000,2442300,439614,2881914,SHIV TEXCHEM LIMITED,23477,SHIVTEX-ANKLESH,Gujarat,24AAICS8906N1ZS,196328,17-Sep-25,196328-STG-P-25-26-3047,INR,1,17-Sep-25,70 days (Term date +70),TDBNAX0000TOL001,TOLUENE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,70,250000,17-Sep-25,,,,STG-P/25-26/3047,Accounted,"Jacob James Raja ,",Recovered
12750,,13-Oct-25,13-Oct-25,13-Oct-25,30150,PPC - Bavla,SHED B,,0,0,0,0,0,0,29023000,2187550.436,0,2187550.436,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - KANDLA DU,Gujarat,24AACCP3026E1ZZ,109157,08-Oct-25,197162-KND002009-25-26,INR,1,,IMMEDIATE,TDBNAX0000TOL001,TOLUENE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,72.55557,30150,08-Oct-25,,,,,,"Jeyastan, Mr.",GST Claim NA
10212,PC26ILT-IN1574,09-Oct-25,14-Oct-25,14-Oct-25,202,PPC - Bhiwandi New,SHED A1,,0,0,3533.081929,0,0,18,34031900,19628.23294,3533.081929,23161.31487,PURE CHEMICALS CO,26279,PCT - Illalor T,Tamil Nadu,33AAYFP5219Q1ZC,109162,09-Oct-25,89327-POI24123538,INR,1,,IMMEDIATE,MLUPBRMS00210121,PURIT RF 402 M,Performance Chemicals,LMA Division,PURIT,RPO,L,,97.16947,420,09-Oct-25,,,,PC26ILT-IN1574-844-71154,Accounted,"GOWTHAM B ,",Recovered
2273,,16-Oct-25,16-Oct-25,16-Oct-25,35,PPC - Gummudipoondi,SHED A,,0,0,0,0,0,0,34029099,35527.80315,0,35527.80315,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - KAPPALUR,Tamil Nadu,33AACCP3026E1Z0,109164,09-Oct-25,99431_POI25061307,INR,1,,IMMEDIATE,MVMPCCB20D500013,VOOKI TOILET BOWL CLEANER 20 X 500ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,1015.08009,35,09-Oct-25,,,,,,"Jacob James Raja ,",GST Claim NA
10139,581,08-Oct-25,09-Oct-25,09-Oct-25,1290,PPC - Bhiwandi New,MKT B2B,,11668.05,11668.05,0,9,9,0,29071110,129645,23336.1,152981.1,A P CHEM CORPORATION,30399,MUMB-TDS-PUR1,Maharashtra,27ABYFA8027E1Z3,197314,08-Oct-25,197314-09-10-2025,INR,1,08-Oct-25,60 days (Term date + 60),TDIMSN215PHEN006,PHENOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,100.5,1290,08-Oct-25,,,,581,Accounted,"Prasanth Radhakrishnan,",Recovered
1061,CL26TKC-IN195,09-Oct-25,09-Oct-25,09-Oct-25,95,PCT - Tirupur,SHED E,,2267.993093,2267.993093,0,9,9,0,29291090,25199.92325,4535.986185,29735.90944,COLOR CHEMICALS AND DYES LLP,11728,CCL-TIRUPUR-KC,Tamil Nadu,33AAJFC8404B1ZY,9103,09-Oct-25,99062-PPS25070779,INR,1,,IMMEDIATE,MTPCHDCB00050965,PUREPRINT 305 UR,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Chemicals,KG,,265.26235,100,09-Oct-25,,,,CL26TKC-IN195-104-71183,Unaccounted,"Velmurugan.S,",Recovered
3349,,14-Oct-25,14-Oct-25,14-Oct-25,21,PPC - Kappalur,SHED B,,0,0,0,0,0,0,34029019,952.48188,0,952.48188,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Puzhal,Tamil Nadu,33AACCP3026E1Z0,109204,09-Oct-25,91585_POI25010144,INR,1,,IMMEDIATE,MVMPCBTHDD250085,VOOKI NATURE POWERED DISH WASH 250ML,NPD,Vooki Division,Vooki Premium,Dish Wash,EA,,45.35628,125,09-Oct-25,,,,,,"GOWTHAM B ,",GST Claim NA
1211,,09-Oct-25,09-Oct-25,09-Oct-25,16400,PPC - Puzhal,SHED A,,0,0,0,0,0,0,39072990,1842129.016,0,1842129.016,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-ENNORE DUTY,Tamil Nadu,33AACCP3026E1Z0,109209,09-Oct-25,195479,INR,1,,IMMEDIATE,TIIMSN205POLY042,GENIX GS-3000R (POLYETHER POLYOLS),General Chemicals,GC2,PU Products,Polyols,KG,,112.32494,16400,09-Oct-25,,,,,,"Sivakumar J,",GST Claim NA
7738,PC26PZT-IN347,09-Oct-25,13-Oct-25,13-Oct-25,1100,CCL - Erode (VC),SHED E,,9801,9801,0,9,9,0,39069090,108900,19602,128502,PURE CHEMICALS CO,26279,PCT - Puzhal Tr,Tamil Nadu,33AAYFP5219Q1ZC,15444,09-Oct-25,101895-PI2509150,INR,1,,IMMEDIATE,MTPCHDBR00220920,PUREPRINT BINDER AFT,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Chemicals,KG,,99,1100,09-Oct-25,,,,,,"Vigneshwaran Mookaiyan,",Pending Recovery
12734,SC003429/25-26,09-Oct-25,09-Oct-25,09-Oct-25,690,PPC - Bavla,SHED C-NOR,,3601.8,3601.8,0,9,9,0,29053100,40020,7203.6,47223.6,SOLVOCHEM,18016,SOLVOCHEM-AHMD,Gujarat,24AAKPV2215N2ZD,197301,08-Oct-25,Bav - 197301-9-10-2025,INR,1,08-Oct-25,70 days (Term date +70),TDIHDN2300MEG019,MONO ETHYLENE GLYCOL (M.E.G),General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,58,690,08-Oct-25,,,,SC003429/25-26,Accounted,"Jacob James Raja ,",Recovered
30675,PP26AEK-AZ1929,10-Oct-25,10-Oct-25,10-Oct-25,24,PPC - Madhavaram,Transport,,0,0,336.5268768,0,0,18,34029099,1869.59376,336.5268768,2206.120637,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Anekal Me,Karnataka,29AACCP3026E1ZP,109316,10-Oct-25,Combo-10-10-2025,INR,1,,IMMEDIATE,MVMPCBTHDD500207,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500 ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,EA,,77.89974,24,10-Oct-25,,,,,,"GOWTHAM B ,",Recovered
12155,241225108024,11-Oct-25,12-Oct-25,12-Oct-25,24000,PPC - Sonipat,Transport,,0,0,146880,0,0,18,29031200,816000,146880,962880,GUJARAT FLUOROCHEMICALS LIMITED,23431,GUJARAT-BHARU,Gujarat,24AAFCI0903C1ZB,197210,06-Oct-25,11-J-2025-11.10.25,INR,1,06-Oct-25,90 days (Term date + 90),TDIHDN2500MDC008,METHYLENE CHLORIDE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Domestic-Packed,34,94600,18-Oct-25,,,,241225108024,Accounted,"Sridharan.P,",RECOVERED
9507,CL26TKC-IN202,13-Oct-25,13-Oct-25,13-Oct-25,50,PPC - Perundurai,SHED B,,1503.251325,1503.251325,0,9,9,0,32061900,16702.7925,3006.50265,19709.29515,COLOR CHEMICALS AND DYES LLP,11728,CCL-TIRUPUR-KC,Tamil Nadu,33AAJFC8404B1ZY,109345,13-Oct-25,56999,INR,1,,IMMEDIATE,MTPCHDCB00050942,PUREPRINT W RHE,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Chemicals,KG,,334.05585,50,13-Oct-25,,,,CL26TKC-IN202-104-71254,Unaccounted,"Rajkumar.S,",Pending Recovery
9510,PC26PZT-IN357,13-Oct-25,14-Oct-25,14-Oct-25,60,PPC - Perundurai,SHED B,,3578.47173,3578.47173,0,9,9,0,32049000,39760.797,7156.94346,46917.74046,PURE CHEMICALS CO,26279,PCT - Puzhal Tr,Tamil Nadu,33AAYFP5219Q1ZC,109366,13-Oct-25,8788,INR,1,,IMMEDIATE,MTPPHDCB00030139,PUREPRINT PINK FLUO FB E/C,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Pigments,KG,,662.67995,60,13-Oct-25,,,,,,"Rajkumar.S,",Pending Recovery
487,,16-Oct-25,16-Oct-25,16-Oct-25,1,PPC - HO Shenoy Nagar,SHED A,,0,0,0,0,0,0,61046200,815.66685,0,815.66685,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Sriper DD,Tamil Nadu,,109212,09-Oct-25,ALONGE-10.05.2024,INR,1,,IMMEDIATE,FTSB120SAP0XS001,WIDE LEG PANT-SB120-SAPPHIRE -XS,NPD,Alonge,Textile,Bottoms,EA,,815.66685,1,09-Oct-25,,,,,,"Prabakaran.M,",GST Claim NA
