PURE RECEIPT AGAINST PURCHASE DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipt No.,Supp Inv No,Supp Inv Date,Receipt Date,Creation Date,Receipt Qty,Org Name,Subinventory,BOE Date,SGST,CGST,IGST,SGST %,CGST %,IGST %,HSN Code,Rcpt Amt,Tax Amt,Rcpt Total,Vendor Name,Vendor No,Vendor Site,Vendor State,Vendor GST Number,Po Number,Po Date,Lot Number,Currency Code,Currency Rate,Rate Date,Po Term Days,Item Code,Item Description,Division,Product,Category,Sub-Category,UOM,Purchase Category,Po Unit Price,Po Quantity,Approved Date,Duties per Unit,Transporter Name,Wo Order No,Invoice Number,Invoice Accounted Status,GRN Created By,Claim Status
17093,PC26MVT-IN5783,03-Oct-25,07-Oct-25,07-Oct-25,50,PPC - Bonthapally(HYD),SHED A,,0,0,56683.45647,0,0,18,29309060,314908.0915,56683.45647,371591.548,PURE CHEMICALS CO,26279,PCT - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,108773,03-Oct-25,REH0270925,INR,1,,IMMEDIATE,MLPBTGLD003-3500,DIMETHYL SULPHOXIDE LR 25L,NPD,Lab Division,Lab Chemicals,LR,EA,,6298.16183,50,03-Oct-25,,,,PC26MVT-IN5783-844-70893,Accounted,"Prasanth Radhakrishnan,",Recovered
760,PP26DVN-AZ2536,03-Oct-25,04-Oct-25,04-Oct-25,1,PPC - Durainallur,SHED A,,0,0,22.1516496,0,0,18,34029099,123.06472,22.1516496,145.2163696,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Deva - AZ,Karnataka,,108784,03-Oct-25,COMBO-30-05-2025,INR,1,,IMMEDIATE,MVMPCCP02D500025,"VOOKI ECOFRIENDLY TOILET CLEANER LIQUID AND DISINFECTANT FLOOR & SURFACE CLEANER, 500 ML EACH, (COMBO PACK OF 2)",NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,123.06472,1,03-Oct-25,,,,,,"Manikandan.S,",Recovered
3319,F22202503635,16-Sep-25,04-Oct-25,04-Oct-25,300,PPC - Kappalur,SHED B,,0,0,9882,0,0,18,32042010,54900,9882,64782,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCH-GUJ03,Gujarat,24AALCA6844Q1Z0,197077,04-Oct-25,3511250065 -16.09.25,INR,1,04-Oct-25,45 days (Term date + 45),TTPRHDCB00060102,LEUCOPHOR BF NEW LIQ,Performance Chemicals,Textile & Paper Division,Textile,Pretreatment,KG,,183,300,04-Oct-25,,,,F22202503635,Accounted,"GOWTHAM B ,",Recovered
30524,F22202503444,08-Sep-25,04-Oct-25,04-Oct-25,480,PPC - Madhavaram,SHED A,,0,0,15552,0,0,18,35079010,86400,15552,101952,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCH-GUJ03,Gujarat,24AALCA6844Q1Z0,196916,29-Sep-25,F22202503444 08SEP2025,INR,1,29-Sep-25,45 days (Term date + 45),TTPRHDBR00050162,INVAZYME FD-HL,Performance Chemicals,Textile & Paper Division,Textile,Pretreatment,KG,,180,480,29-Sep-25,,,,F22202503444,Accounted,"GOWTHAM B ,",Recovered
10069,MH/T/3083/25-26,03-Oct-25,04-Oct-25,04-Oct-25,920,PPC - Bhiwandi New,MKT B2B,,4554,4554,0,9,9,0,29053100,50600,9108,59708,KREST STYROCOL PRIVATE LIMITED,30318,MUMB-TDS-PUR1,Maharashtra,27AAKCK3219L1Z8,197055,03-Oct-25,197055-04-10-2025,INR,1,01-Oct-25,60 days (Term date + 60),TDIHDN2300MEG019,MONO ETHYLENE GLYCOL (M.E.G),General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,55,920,03-Oct-25,,,,MH/T/3083/25-26,Accounted,"GOWTHAM B ,",Recovered
21206,100819,03-Oct-25,04-Oct-25,04-Oct-25,585,PPC - Mumbai,SHED B,,5422.95,5422.95,0,9,9,0,29144000,60255,10845.9,71100.9,AGR CHEMICALS (OPC) PRIVATE LIMITED,31190,MUMB-TDS-PUR1,Maharashtra,27AAZCA6035D1ZG,197001,01-Oct-25,197001-04-10-2025,INR,1,01-Oct-25,60 Days PDC,TDIMSN1950DAA001,DI ACETONE ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,103,585,03-Oct-25,,,,100819,Accounted,"Prasanth Radhakrishnan,",RECOVERED
10077,727,04-Oct-25,04-Oct-25,04-Oct-25,7350,PPC - Bhiwandi New,MKT B2B,,49612.5,49612.5,0,9,9,0,29153100,551250,99225,650475,ESCORTS CHEMICAL INDUSTRIES,22578,ESCORT-MUMB,Maharashtra,27AFKPK3333F1ZL,197081,04-Oct-25,197081-04-10-2025,INR,1,04-Oct-25,75 days (Term date + 75),TDIHDN210ETAC012,ETHYL ACETATE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,75,7350,04-Oct-25,,,,727,Accounted,"Prasanth Radhakrishnan,",RECOVERED
7755,PC26MVT-IN5811,04-Oct-25,10-Oct-25,10-Oct-25,0.5,POI - Alathur MFG,SHED A,,7.44081615,7.44081615,0,9,9,0,29329900,82.675735,14.8816323,97.5573673,PURE CHEMICALS CO,26279,PCT - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,12592,04-Oct-25,"MCPL-1,4D(B)-004-25-26-30.08.2025",INR,1,,IMMEDIATE,MLPTNGID008-LR00,"1,4-DIOXANE LR",NPD,Lab Division,Lab Chemicals,LR,KG,,165.35147,0.5,04-Oct-25,,,,PC26MVT-IN5811-844-70964,Unaccounted,"Jaganathan.B,",Recovered
10207,PS26TKT-IN961,04-Oct-25,14-Oct-25,14-Oct-25,400,PPC - Bhiwandi New,SHED A1,,0,0,6975.07416,0,0,18,38099190,38750.412,6975.07416,45725.48616,PON PURE SPECIALITY CHEMICAL PRIVATE LIMITED,25742,PST - Thervoyka,Tamil Nadu,33AALCP9560E1Z8,108870,04-Oct-25,100248-PPS25080875,INR,1,,IMMEDIATE,MTFCHDCB00050142,PURESOFT RSA 300 LIQ,Performance Chemicals,Textile & Paper Division,Textile Pure,Finishing Chemical,KG,,96.87603,400,04-Oct-25,,,,PS26TKT-IN961-724-70968,Accounted,"GOWTHAM B ,",Recovered
3226,,04-Oct-25,04-Oct-25,04-Oct-25,80000,PPC - Ennore Port,EC-409,,0,0,0,0,0,0,39093100,11949739.92,0,11949739.92,"KUMHO MITSUI CHEMICALS, INC.",31111,KUMHO-SEOUL1,Other,Unregistered,194414,08-Aug-25,194414,USD,88.6778,04-Aug-25,LC 90 Days from BL / Shipment Date,TIIMSN250PMDI001,COSMONATE M200,General Chemicals,GC2,PU Products,MDI Grades,KG,Imported-Packed,1.71,80000,04-Oct-25,,,,20139140,Accounted,"Ezhilarasan M ,",GST Claim NA
