item_code,item_name_clean,item_desc_original,uom,unit_size_ml,pack_qty,pack_type,units_per_box,item_group_clean,item_group_original,alt_item_groups,duplicate_rows_in_source,division
MVMPCCP03D500021,HOME HYGIENE COMBO 10 [PACK OF 3],HOME HYGIENE COMBO 10 [PACK OF 3],BOX,,3,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500005,HOME HYGIENE COMBO 3 [PACK OF 3] (MULTIPURPOSE DISINFECTANT+TOILET BOWL+GLASS CLEANER),HOME HYGIENE COMBO 3 [PACK OF 3] (MULTIPURPOSE DISINFECTANT+TOILET BOWL+GLASS CLEANER),BOX,,3,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP04D500004,HOME HYGIENE COMBO 4 [PACK OF 4],HOME HYGIENE COMBO 4 [PACK OF 4],BOX,,4,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP04D500001,HOME HYGIENE COMBO 5 WITH FREE HAND SANITIZER 60ML (PACK OF 4) HARD STAIN+FLOOR+TOILET+GLASS WITH FR,HOME HYGIENE COMBO 5 WITH FREE HAND SANITIZER 60ML (PACK OF 4) HARD STAIN+FLOOR+TOILET+GLASS WITH FR,BOX,60.0,4,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500017,HOME HYGIENE COMBO 6 [PACK OF 3],HOME HYGIENE COMBO 6 [PACK OF 3],BOX,,3,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP04D500002,HOME HYGIENE COMBO 7 [PACK OF 4],HOME HYGIENE COMBO 7 [PACK OF 4],BOX,,4,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500018,HOME HYGIENE COMBO 9 [PACK OF 3],HOME HYGIENE COMBO 9 [PACK OF 3],BOX,,3,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500514,KITCHEN SHINING COMBO PACK - (TOUGH LIME SCALE+HARD STAINS SPRAY+NATURE POWERED DISH WASH) - PACK 3(500ML),KITCHEN SHINING COMBO PACK - (TOUGH LIME SCALE+HARD STAINS SPRAY+NATURE POWERED DISH WASH) - PACK 3(500ML),BOX,500.0,1,SINGLE_UNIT,20.0,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCCP02D500029,MULTIPURPOSE FLOOR CLEANER 500ML PACK OF 2,MULTIPURPOSE FLOOR CLEANER 500ML PACK OF 2,BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500019,NATURE POWERED DISH WASH PACK OF 2,NATURE POWERED DISH WASH Pack Of 2,BOX,,2,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500010,TOILET BOWL CLEANER 500ML [PACK OF 3] |,TOILET BOWL CLEANER 500ml [Pack of 3] |,BOX,500.0,3,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500016,TOILET BOWL CLEANER PACK OF 2,Toilet Bowl Cleaner Pack of 2,BOX,,2,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500023,TOILET BOWL+TOUGH LIME SCALE+HARD STAIN PACK OF 3,TOILET BOWL+TOUGH LIME SCALE+HARD STAIN PACK OF 3,BOX,,3,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500020,TOUGH LIME SCALE SPRAY + SCRUB 500ML PACK OF 2,TOUGH LIME SCALE SPRAY + SCRUB 500ML Pack of 2,BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D801001,VOOKI BIOSENSE LAUNDRY DETERGENT PACK OF 2 X 801ML,VOOKI BIOSENSE LAUNDRY DETERGENT PACK OF 2 X 801ML,BOX,801.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP20D801001,VOOKI BIOSENSE LAUNDRY DETERGENT PACK OF 20 X 801ML,VOOKI BIOSENSE LAUNDRY DETERGENT PACK OF 20 X 801ML,BOX,801.0,20,CASE,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D801002,VOOKI BIOSENSE LAUNDRY DETERGENT PACK OF 3 X 801ML,VOOKI BIOSENSE LAUNDRY DETERGENT PACK OF 3 X 801ML,BOX,801.0,3,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP05D500011,VOOKI CLEANING ESSENTIALS COMBO(HARD STAINS+TOUGH LIME+HEAVY DUTY+FLOOR+GLASS CLEANER) PACK OF 5,VOOKI CLEANING ESSENTIALS COMBO(HARD STAINS+TOUGH LIME+HEAVY DUTY+FLOOR+GLASS CLEANER) PACK OF 5,BOX,,5,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500042,"VOOKI COMBO [HARD STAIN SPRAY + WIPE, HEAVY DUTY TOILET BOWL CLEANER, TOUGH LIMESCALE\DESCALER] WITH MINI DISHWASH LIQUID 250 ML","VOOKI COMBO [HARD STAIN SPRAY + WIPE, HEAVY DUTY TOILET BOWL CLEANER, TOUGH LIMESCALE\DESCALER] WITH MINI DISHWASH LIQUID 250 ML",BOX,250.0,1,SINGLE_UNIT,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500024,"VOOKI ECOFRIENDLY MULITIPURPOSE DISINFECTANT FLOOR & FLOOR SURFACE CLEANER, GREEN CHEMISTRY 500ML - (COMBO PACK OF 2)","VOOKI ECOFRIENDLY MULITIPURPOSE DISINFECTANT FLOOR &  FLOOR SURFACE CLEANER, GREEN CHEMISTRY 500ML - (COMBO PACK OF 2)",BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500025,"VOOKI ECOFRIENDLY TOILET CLEANER LIQUID AND DISINFECTANT FLOOR & SURFACE CLEANER, 500 ML EACH, (COMBO PACK OF 2)","VOOKI ECOFRIENDLY TOILET CLEANER LIQUID AND DISINFECTANT FLOOR & SURFACE CLEANER, 500 ML EACH, (COMBO PACK OF 2)",BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500035,VOOKI ECOFRIENDLY TOUGH LIME SCALE SPRAY + SCRUB 500ML (PACK OF 3),VOOKI ECOFRIENDLY TOUGH LIME SCALE SPRAY + SCRUB 500ML (PACK OF 3),BOX,500.0,3,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP05D500008,VOOKI ECOFRIENDLY TOUGH LIME SCALE SPRAY + SCRUB 500ML (PACK OF 5),VOOKI ECOFRIENDLY TOUGH LIME SCALE SPRAY + SCRUB 500ML (PACK OF 5),BOX,500.0,5,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500039,VOOKI FESTIVE COMBO (VOOKI HEAVY DUTY TOILET BOWL CLEANER PACK OF 2 & DISH WASH 1) PACK OF 3,VOOKI FESTIVE COMBO (VOOKI HEAVY DUTY TOILET BOWL CLEANER PACK OF 2 & DISH WASH 1) PACK OF 3,BOX,,2,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500028,VOOKI FLOOR AND DISHWAWH CLEANER PACK OF 2,VOOKI FLOOR AND DISHWAWH CLEANER PACK OF 2,BOX,,2,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP20D500515,VOOKI FLOOR&SURFACE CLEANER 20X500ML,VOOKI FLOOR&SURFACE CLEANER 20X500ML,BOX,500.0,20,CASE,20.0,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCHDBRD250517,VOOKI FLOOR&SURFACE CLEANER 250ML,VOOKI FLOOR&SURFACE CLEANER 250ML,BOX,250.0,1,SINGLE_UNIT,20.0,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCHDCN0005551,VOOKI FLOOR&SURFACE CLEANER 5L,VOOKI FLOOR&SURFACE CLEANER 5L,BOX,5000.0,1,SINGLE_UNIT,,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCCP02D500046,VOOKI FLOOR+SURFACE CLEANER AND TOUGH LIME SCALE SPRAY + SCRUB ( COMBO PACK 2 X 500ML ),VOOKI FLOOR+SURFACE CLEANER AND TOUGH LIME SCALE SPRAY + SCRUB ( COMBO PACK 2 X 500ML ),BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500048,VOOKI FLOOR+SURFACE CLEANER AND VOOKI GLASS+SMOOTH SURFACE CLEANER ( COMPO PACK 2 X 500ML ),VOOKI FLOOR+SURFACE CLEANER AND VOOKI GLASS+SMOOTH SURFACE CLEANER ( COMPO PACK 2 X 500ML ),BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware Compo,,1,NPD
MVMPCCP03D500026,"VOOKI GLASS CLEANER, FLOOR CLEANER,TOILET BOWL CLEANER PACK OF 3","VOOKI GLASS CLEANER, FLOOR CLEANER,TOILET BOWL CLEANER PACK OF 3",BOX,,3,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP05D500005,VOOKI GLASS+FLOOR+HARDSTAIN+LIMESCALE+DISHWASH PACK OF 5,VOOKI GLASS+FLOOR+HARDSTAIN+LIMESCALE+DISHWASH PACK OF 5,BOX,,5,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500045,VOOKI HEAVY DUTY TOILET BOWL CLEANER + FLOOR CLEANER (500ML) PACK OF 2,VOOKI HEAVY DUTY TOILET BOWL CLEANER + FLOOR CLEANER (500ML) PACK OF 2,BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500042,VOOKI HEAVY DUTY TOILET BOWL CLEANER +HARD STAIN SPARY (500ML) PACK OF 2,VOOKI HEAVY DUTY TOILET BOWL CLEANER +HARD STAIN SPARY (500ML) PACK OF 2,BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500043,VOOKI HEAVY DUTY TOILET BOWL CLEANER +TOUGH LIME SCALE SPARY (500ML) PACK OF 2,VOOKI HEAVY DUTY TOILET BOWL CLEANER +TOUGH LIME SCALE SPARY (500ML) PACK OF 2,BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500041,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500ML PACK OF 2,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500ML PACK OF 2,BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500033,"VOOKI HEAVY DUTY TOILET BOWL CLEANER, TOUGH LIME SCALE-SPRAY, HARD STAINS SPRAY (COMBO 500ML PACK OF 3)","VOOKI HEAVY DUTY TOILET BOWL CLEANER, TOUGH LIME SCALE-SPRAY, HARD STAINS SPRAY (COMBO 500ML PACK OF 3)",BOX,500.0,3,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP05D500010,"VOOKI HOME HYGIENE COMBO HARD STAINS, FLOOR CLEANER, HEAVY DUTY TOILET BOWL CLEANER,NATURAL DISH WASH,TOUGH LIME SCALE SPRAY 2500 ML (PACK OF 5)","VOOKI HOME HYGIENE COMBO HARD STAINS, FLOOR CLEANER, HEAVY DUTY TOILET BOWL CLEANER,NATURAL DISH WASH,TOUGH LIME SCALE SPRAY  2500 ML (PACK OF 5)",BOX,2500.0,5,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCHDBTD500511,VOOKI MULTI STRONG BATHROOM FLOOR CLEANER,VOOKI MULTI STRONG BATHROOM FLOOR CLEANER,EA,,1,SINGLE_UNIT,,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCHDCB0050515,VOOKI MULTI STRONG BATHROOM FLOOR CLEANER,VOOKI MULTI STRONG BATHROOM FLOOR CLEANER,EA,,1,SINGLE_UNIT,,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCBKLK0000553,VOOKI MULTI STRONG BATHROOM FLOOR CLEANER - BULK,VOOKI MULTI STRONG BATHROOM FLOOR CLEANER - BULK,L,,1,BULK,,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCCP02D500047,VOOKI NATURE POWERED DISH WASH AND VOOKI GLASS+SMOOTH SURFACE CLEANER ( COMPO PACK 2 X 500ML ),VOOKI NATURE POWERED DISH WASH AND VOOKI GLASS+SMOOTH SURFACE CLEANER ( COMPO PACK 2 X 500ML ),BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware Compo,,1,NPD
MVMPCCP01D250064,"VOOKI NATURE POWERED DISH WASH GEL, NO PRESERVATIVES, NO SYNTHETIC COLORS - 250 ML (PACK OF 1)","VOOKI NATURE POWERED  DISH WASH GEL, NO PRESERVATIVES, NO SYNTHETIC COLORS - 250 ML (PACK OF 1)",BOX,250.0,1,SINGLE_UNIT,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500026,"VOOKI NATURE POWERED NATURAL DISH WASH GEL AND ECOFRIENDLY HARD STAINS SPRAY AND WIPE - 500 ML EACH, (COMBO PACK OF 2)","VOOKI NATURE POWERED NATURAL DISH WASH GEL AND ECOFRIENDLY HARD STAINS SPRAY AND WIPE - 500 ML EACH, (COMBO PACK OF 2)",BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500027,"VOOKI NATURE POWERED NATURAL DISH WASH GEL AND ECOFRIENDLY TOILET CLEANER LIQUID 100 FLUSH PROTECTION - 500 ML EACH, (COMBO PACK OF 2)","VOOKI NATURE POWERED NATURAL DISH WASH GEL AND ECOFRIENDLY TOILET CLEANER LIQUID 100 FLUSH PROTECTION - 500 ML EACH, (COMBO PACK OF 2)",BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D250015,VOOKI PACK OF 2 = FLOOR+SURFACE CLEANER | 24 HOURS GERM PROTECTION | SKIN SAFE | ECO FRIEDLY MEDITT,vooki Pack of 2 = Floor+Surface Cleaner | 24 Hours Germ Protection | Skin Safe | Eco Friedly Meditt,BOX,,2,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500054,VOOKI SCALE POWER COMBO (TOUGH LIME + HEAVY DUTY TOILET BOWL) 2 X 500 ML,VOOKI SCALE POWER COMBO (TOUGH LIME + HEAVY DUTY TOILET BOWL) 2 X 500 ML,BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP04D250001,VOOKI SUPER SAVER COMBO TOUGH LIME SCALE SPRAY - SCRUB + HARD STAINS SPRAY - WIPE + FLOOR- SURFACE CLEANER + NATURE POWERED DISH WASH (PACK OF 4 X 250 ML),VOOKI SUPER SAVER COMBO TOUGH LIME SCALE SPRAY - SCRUB + HARD STAINS SPRAY - WIPE + FLOOR- SURFACE CLEANER + NATURE POWERED DISH WASH (PACK OF 4 X 250 ML),BOX,250.0,4,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP05D500003,VOOKI TOILET+FLOOR+HARDSTAIN+LIMESCALE+DISHWASH PACK OF 5,VOOKI TOILET+FLOOR+HARDSTAIN+LIMESCALE+DISHWASH PACK OF 5,BOX,,5,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500049,VOOKI TOUGH LIME SCALE SPRAY AND VOOKI ELECTRONIC COMPONENT CLEANER( COMPO PACK 2 X 500ML ),VOOKI TOUGH LIME SCALE SPRAY AND VOOKI ELECTRONIC COMPONENT CLEANER( COMPO PACK 2 X 500ML ),BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware Compo,,1,NPD
MVMPCCP05D500028,VOOKI ULTIMATE POWER CLEAN COMBO ( WHIMSICAL WONDER 405ML+LAUNDRY DETERGENT 801ML+FLOOR+SURFACE CLEANER+HEAVY DUTY TOILET BOWL CLEANER+HARD STAINS SPRAY+WIPE 500ML),VOOKI ULTIMATE POWER CLEAN COMBO ( WHIMSICAL WONDER 405ML+LAUNDRY DETERGENT 801ML+FLOOR+SURFACE CLEANER+HEAVY DUTY TOILET BOWL CLEANER+HARD STAINS SPRAY+WIPE 500ML),BOX,405.0,1,SINGLE_UNIT,20.0,Uniware Compo,VOOKI UNIWARE  COMPO,,1,NPD
MVMPCCP02D500017,VOOKI VOKI_GSURFCLR_500ML_PCK2 (2 X 500 ML),vooki VOKI_GSurfClr_500ml_Pck2 (2 x 500 ml),BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
