item_code,item_name_clean,item_desc_original,uom,unit_size_ml,pack_qty,pack_type,units_per_box,item_group_clean,item_group_original,alt_item_groups,duplicate_rows_in_source,division
SVMPCRFABTHD0127,VOOKI SILVERLINES ROOM FRESHENER ALPINE FRESH-SAMPLE,VOOKI SILVERLINES ROOM FRESHENER ALPINE FRESH-SAMPLE,EA,,1,SINGLE_UNIT,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBULKD250056,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH,L,,1,BULK,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHD0100097,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH 100ML,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH 100ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MDRNAN005VORF035,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH 250 ML,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH 250 ML,EA,250.0,1,SINGLE_UNIT,20.0,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MDRNAN005VORF031,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH 5 LITERS,VOOKI SILVERLINES ROOM FRESHENER CANDY CRUSH 5 LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,Room Freshener,2,NPD
MVMPCBULK0000206,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER,L,,1,BULK,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHD0100106,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER 100ML,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER 100ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHDD250086,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER 250ML,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER 250ML,EA,250.0,1,SINGLE_UNIT,20.0,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHD0005214,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER 5 LITERS,VOOKI SILVERLINES ROOM FRESHENER ENGLISH LAVENDER 5 LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
SVMPCRFLBTHD0127,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH - SAMPLE,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH - SAMPLE,EA,,1,SINGLE_UNIT,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHD0100098,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH 100ML,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH 100ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHDD250059,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH 250ML,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH 250ML,EA,250.0,1,SINGLE_UNIT,20.0,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,,1,NPD
MVMPCBTHD0005168,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH 5LITERS,VOOKI SILVERLINES ROOM FRESHENER LEMO RUSH 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Room Freshener,SILVERLINES ROOM FRESHENER - NPD,Room Freshener Lime,2,NPD
MVMPCBTHD0005046,VOOKI SILVERLINES DESCALER 5LITERS,VOOKI SILVERLINES DESCALER 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Scale Remover,VOOKI SILVERLINES SCALE REMOVER,,1,NPD
MVMPCBTHD0050115,VOOKI SILVERLINES SOAP OIL 50LITERS,VOOKI SILVERLINES SOAP OIL 50LITERS,EA,50000.0,1,SINGLE_UNIT,,Silverlines Soap Oil,SILVERLINES SOAP OIL - NPD,,1,NPD
MVMPCBTHDD100191,VOOKI SILVERLINES SOAP OIL COMPOUND 100 ML,VOOKI SILVERLINES SOAP OIL COMPOUND 100 ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Soap Oil Compound,SILVERLINES SOAP OIL COMPOUND - NPD,,1,NPD
MVMPCBTHD0200191,VOOKI SILVERLINES SOAP OIL COMPOUND 200 LITERS,VOOKI SILVERLINES SOAP OIL COMPOUND 200 LITERS,EA,200000.0,1,SINGLE_UNIT,,Silverlines Soap Oil Compound,SILVERLINES SOAP OIL COMPOUND - NPD,,1,NPD
MVMPCBTHD0025191,VOOKI SILVERLINES SOAP OIL COMPOUND 25 LITERS,VOOKI SILVERLINES SOAP OIL COMPOUND 25 LITERS,EA,25000.0,1,SINGLE_UNIT,,Silverlines Soap Oil Compound,SILVERLINES SOAP OIL COMPOUND - NPD,,1,NPD
MVMPCBTHD0050191,VOOKI SILVERLINES SOAP OIL COMPOUND 50 LITERS,VOOKI SILVERLINES SOAP OIL COMPOUND 50 LITERS,EA,50000.0,1,SINGLE_UNIT,,Silverlines Soap Oil Compound,SILVERLINES SOAP OIL COMPOUND - NPD,,1,NPD
MVMPCBTHDD100193,VOOKI SILVERLINES STAINLESS STEEL SHINE 100ML,VOOKI SILVERLINES STAINLESS STEEL SHINE 100ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Stainless Steel Shine,SILVERLINES STAINLESS STEEL SHINE - NPD,,1,NPD
MVMPCBTHD0005192,VOOKI SILVERLINES STAINLESS STEEL SHINE 5 LITERS,VOOKI SILVERLINES STAINLESS STEEL SHINE 5 LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Stainless Steel Shine,SILVERLINES STAINLESS STEEL SHINE - NPD,,1,NPD
MVMPCBTHD0100090,VOOKI SILVERLINES TOILET CLEANER 100ML,VOOKI SILVERLINES TOILET CLEANER 100ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Toilet Cleaner,SILVERLINES TOILET CLEANER - NPD,,1,NPD
MVMPCBTHDD250056,VOOKI SILVERLINES TOILET CLEANER 250ML,VOOKI SILVERLINES TOILET CLEANER 250ML,EA,250.0,1,SINGLE_UNIT,20.0,Silverlines Toilet Cleaner,SILVERLINES TOILET CLEANER - NPD,,1,NPD
MVMPCBTHD0005171,VOOKI SILVERLINES TOILET CLEANER 5LITERS,VOOKI SILVERLINES TOILET CLEANER 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Toilet Cleaner,VOOKI SILVERLINES TOILET CLEANER,,2,NPD
MVMPCBTHD0100093,VOOKI SILVERLINES SCENTED FLOOR CLEANER 100 ML,VOOKI SILVERLINES SCENTED FLOOR CLEANER 100 ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines White Phenyl,SILVERLINES WHITE PHENYL - NPD,,1,NPD
MVMPCBTHD0005172,VOOKI SILVERLINES SCENTED FLOOR CLEANER 5 LITERS,VOOKI SILVERLINES SCENTED FLOOR CLEANER 5 LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines White Phenyl,SILVERLINES WHITE PHENYL - NPD,,1,NPD
MVMPCBTHDD100194,VOOKI SILVERLINES WOOD SHINE 100 ML,VOOKI SILVERLINES WOOD SHINE 100 ML,EA,100.0,1,SINGLE_UNIT,20.0,Silverlines Wood Shine,SILVERLINES WOOD SHINE - NPD,,1,NPD
MVMPCBTHD0005193,VOOKI SILVERLINES WOOD SHINE 5 LITERS,VOOKI SILVERLINES WOOD SHINE 5 LITERS,EA,5000.0,1,SINGLE_UNIT,,Silverlines Wood Shine,SILVERLINES WOOD SHINE - NPD,,1,NPD
MVMPCBTHD0005073,VOOKI SILVERLINES FABRIC STAIN REMOVER 5LITERS,VOOKI SILVERLINES FABRIC STAIN REMOVER 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Sliverlines Fabric Stain Remover,VOOKI SLIVERLINES FABRIC STAIN REMOVER,,1,NPD
MVMPCBULKD250113,VOOKI SILVERLINES SOAP OIL,VOOKI SILVERLINES SOAP OIL,L,,1,BULK,,Surface Cleaner,SURFACE CLEANER - NPD,,1,NPD
MVMPCBULK0000204,VOOKI HEAVY DUTY TOILET BOWL CLEANER,VOOKI HEAVY DUTY TOILET BOWL CLEANER,L,,1,BULK,,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,1,NPD
MVMPCCB20D500210,VOOKI HEAVY DUTY TOILET BOWL CLEANER 20 X 500 ML,VOOKI HEAVY DUTY TOILET BOWL CLEANER 20 X 500 ML,BOX,500.0,20,CASE,20.0,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,1,NPD
MVMPCHDBR0200205,VOOKI HEAVY DUTY TOILET BOWL CLEANER 200 LITERS,VOOKI HEAVY DUTY TOILET BOWL CLEANER 200 LITERS,EA,200000.0,1,SINGLE_UNIT,,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,1,NPD
MVMPCBTHDD500207,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500 ML,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500 ML,EA,500.0,1,SINGLE_UNIT,20.0,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,1,NPD
MVMPCBTHD0100089,VOOKI TOILET BOWL CLEANER 100ML,VOOKI TOILET BOWL CLEANER 100ML,EA,100.0,1,SINGLE_UNIT,20.0,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,1,NPD
MVMPCCB20D500013,VOOKI TOILET BOWL CLEANER 20 X 500ML,VOOKI TOILET BOWL CLEANER 20 X 500ML,BOX,500.0,20,CASE,20.0,Toilet Bowl Cleaner,VOOKI TOILET BOWL CLEANER - NPD,,2,NPD
MVMPCBTHDD250016,VOOKI TOILET BOWL CLEANER 250ML,VOOKI TOILET BOWL CLEANER 250ML,EA,250.0,1,SINGLE_UNIT,20.0,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,1,NPD
MVMPCBTHDD500016,VOOKI TOILET BOWL CLEANER 500ML,VOOKI TOILET BOWL CLEANER 500ML,EA,500.0,1,SINGLE_UNIT,20.0,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,2,NPD
MVMPCBTHD0005173,VOOKI TOILET BOWL CLEANER 5LITERS,VOOKI TOILET BOWL CLEANER 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Toilet Bowl Cleaner,TOILET BOWL CLEANER - NPD,,2,NPD
