job,org,fg,cat,grp,outq,uom,lot,d,n_rm,val,file
133547,PSM - Thervoykandigai MFG,MGCNAX0000MDI038,General Chemicals,GC2,1066.0,KG,133547 BJ PPS26060725,2026-07-07,2,173693.52,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
128463,PSM - Thervoykandigai MFG,MTPRBULK00000040,Performance Chemicals,Textile & Paper Division,2000.0,KG,128463 BJ PPS26040431,2026-04-04,8,173055.07,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129393,POI - Alathur MFG,MTDCBULK00000006,Performance Chemicals,Textile & Paper Division,509.0,KG,129393 POI26040786,2026-04-28,3,172685.09000000003,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
128625,POI - Alathur MFG,MLUPBULK00000177,Performance Chemicals,LMA Division,1849.41,L,128625 POI26040663,2026-04-08,6,171808.11,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
128496,PSM - Thervoykandigai MFG,MGCNAX0000MDI038,General Chemicals,GC2,1030.0,KG,128496 BJ PPS26040375,2026-04-06,2,166441.82,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
128648,POI - Alathur MFG,MVMPCBULKD250059,NPD,Vooki Division,5946.2,L,128648  POI26040695,2026-04-08,8,164094.45,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
132622,PSM - Thervoykandigai MFG,MGCNAX000PUSY102,General Chemicals,GC2,2139.0,KG,132622 BJ PPS26060691,2026-06-18,6,163017.86,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
133877,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,2938.8,L,133877 POI26071342,2026-07-15,13,162175.75,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
132508,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,2913.72,L,132508 POI26061041,2026-06-16,13,161528.67,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131706,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,2938.2,L,131706 POI26061039,2026-05-30,13,160816.42,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
132580,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,2938.2,L,132580 POI26061044,2026-06-18,13,160304.28,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
